,O00264,P62314,P62273,P62136,P61978,P57735,P52272,P52209,P50395,P49321,P46781,O14980,P42766,P40429,P40121,P30626,P26640,P62277,P62424,P25685,P62805,Q9UKA9,Q9UHD8,Q9P2B2,Q9NZN3,Q9BUF5,Q96CW1,Q15393,Q13751,Q12797,Q10567,Q02543,Q01813,P84077,P63244,P62861,P26583,P46776,Q9Y490,O95782,P22307,P07195,P14927,P06733,P04844,P16403,P02786,P00966,P00558,P12830,O43681,O60610,P18621,Q9H4A4,Q9UQ35,Q9UKK9,P06744,P62750,O15260,Q9P258,P05783,P62879,O75083,Q15181,P83731,P04179,Q06830,P09211,Q6BDS2,Q16576,Q14697,Q09666,P08708,P30153,P15924,P18077,P17812,P42704,P31943,P43307,P31942,P16949,P30740,P49207,P35080,P15559,P14625,P28482,P53007,P27635,P35659,P09874,P11387,P22102,Q13547,P42330,Q13509,P04083,Q02750,Inhi_5,pert_id,trial names
0,0.10382995850897142,0.6828227884972574,-0.23933052446221445,-0.29594736953166134,-0.48273448285760306,-0.7816844949519832,-0.40674427498836024,-0.02943091951029544,-0.7875632385085827,-0.9133854990361434,-0.06352406180384872,-0.2194919973719552,-1.1181571920305622,-0.2964104911382008,-0.05114894010883312,0.12929565343493962,0.17897846333002113,-0.7783318458388284,-0.6299804337047998,0.3432031125866528,-0.09046288325718567,-0.8546766827610605,-0.7487849490912083,-0.22350880007110818,-0.0820105388641607,-0.8489904254683629,0.06166503635769063,-1.0485508261728624,0.8380783966020423,-0.5444596913088505,-0.23410263065392767,-0.8074181400110302,0.2564732935185747,0.3192310426862185,-0.4565308100767415,-0.44935481962128626,-0.805401892711337,-0.1860878530706599,-0.30454618802939676,-0.13908162541654837,-0.3395349980763627,0.8145602047893487,1.4236374129055045,-0.17034709927698585,0.5562534088713625,0.18149120396108953,0.09708271808573725,-0.4687818342184597,-0.23802492220694074,0.27112289022840336,-1.0376838177437782,0.4892618482941196,-0.49857968063584074,-0.24794957333318315,-0.610645727793941,-0.38159866954471555,-0.7251337746847742,0.1985413659970686,-0.22395255604596706,-0.4111874124549433,-0.42901861290944016,-0.7501170778560423,-0.525277960844501,-0.5896328654702988,-0.6808948002079767,-0.07938039044781765,-0.13732177070987125,-0.2692973859169263,-0.2803875441829342,-0.6048315826793257,-0.1508218441696344,-0.5344644565345714,-0.1886502502087657,0.18946383191270852,-0.8384219059177568,-0.3074903318582784,-0.2799157883894868,-0.2088759916434243,-0.5635648332498243,-0.13929563607039971,-0.4315233579318621,-1.188353122063489,-0.47211392555154946,-0.2789295559635832,-0.7645927806577012,-0.2660967930892156,0.06480666002180445,-0.23178802743260615,-0.6714305705039972,-0.9616882190684369,0.05338029979590218,-0.5404516034546275,-0.8246764044468975,-0.2863028476506316,-0.5144778718963234,0.05181277339180551,-0.364398076024072,-0.29699447241123933,0.2831957442698451,0.2307692308,10,Abemaciclib_10_24
3,0.19166837557018976,0.840126772324512,-0.9185781698962476,-0.22591288363960765,-0.228317422210775,-0.39966454551687,-0.16026605880122993,-0.02852772826242153,-0.5351665801951737,-0.5432801618650145,-0.19178177766697016,-0.5225889749634777,-1.6748448544737913,-0.40863058742445246,-0.23509849999283697,0.17651849515946633,0.6187726893863622,-0.5619685503195142,-0.32707467861169154,-0.26644097146470924,0.0030922459191559948,-0.5056869480041609,-0.3291421457999883,-0.12945730875338554,0.13021287900549167,-0.0765173808757201,-0.010277966677081501,-0.5653255263386077,0.11848465939005168,-0.09831986156698132,-0.5676028337186347,-0.6370571715049669,-0.07859214068073615,0.056893940138740384,-0.4336005501579775,-0.6037533041416812,-0.5790843649084068,-0.2669611263296015,-0.1490543241500256,-0.5686150040784639,-0.32821459500432065,0.4266962290238717,0.30515040536543864,-0.17988795082075149,0.36242283769169625,0.26815583579475705,-0.27500741480707946,-0.19877555143535178,-0.21901946896111274,1.089760571516716,-0.3394288807135754,0.13252917822823898,-0.809698536015881,-0.4915285833591547,-0.276162776560826,-0.8927538021274617,-0.4965850797148127,0.25404164703717413,0.24053865046584755,-0.18745037571063855,-0.06484953271649753,-0.6954060391298033,-0.394705482480846,-0.3764684040166946,-0.4662064968147218,0.24701158167253873,-0.18358899651139132,-0.30486403926971783,-0.3426556175903592,-0.6870319896502491,-0.14190700256627076,-0.3047466921558466,0.08088059061795966,0.08790925710788008,0.04506129059865188,-0.2411626892020652,-0.37455680584620415,-0.5025513152882785,-0.41732249011112,0.406004222196702,0.05952837739433291,-0.657981927039827,-0.20678112620897524,-0.1353575741785013,-0.8436226282248545,-0.32316443212854523,0.31953924915668674,-0.34173026515617816,-0.4062781499310788,-0.16580832853358507,0.10032221910320951,-0.2651138385723741,0.19410605304071227,-0.18277023280790616,0.3755946546800135,0.12463743693001327,-0.4710843972125075,-0.12801423620280866,-0.5328632547989015,0.5494630564,21,Afatinib_21_24
6,-0.24621468535094806,0.010024668909156908,-0.2186835029839405,0.06306924660910905,0.03111040375554754,-0.2897970119728557,-0.15951270889320202,0.2506805316065659,-0.04692305190287633,-0.18668126724886733,-0.009359975859991774,-0.2786793386447321,0.11316293904824926,0.17495919172620691,0.17079160899706988,0.2614871605934307,0.07953911173583855,-0.0415355267378188,-0.23094761237065273,0.1396214692752699,0.335488312189534,-0.11427181675371888,-0.5696994264676046,-0.15950449862945124,-0.02698747805588654,-0.1329288104453286,-0.1393095866952193,-0.03889952545491405,0.3679615064473289,-0.04957679554052441,-0.38004074944706806,-0.2816114151637987,-0.3567777158458356,0.20647281272731557,-0.1496194278394289,-0.5262207262787288,0.1694552767509702,-0.2200333308883431,-0.13975668495465263,-0.07569158507266129,0.07287456262278054,-0.1919005957222162,-0.09507880386172447,0.17622051515402692,0.26020824280958127,0.23626870410165213,-0.41400639569120595,0.0964141281963829,0.020474071448743334,0.29142511156450596,-0.1883943377216496,-0.3853275952212496,-0.17230435636031657,-0.1280208992664644,-0.19876908234141258,-0.046317869331152055,-0.0616398817246853,-0.16138601881425887,-0.373639541911015,0.04193911180158468,-0.8003656506313991,-0.09391700081777708,-0.17784156574300347,0.11020644685263763,0.23011805735005175,0.4568372263601863,0.1826632348756123,0.15970039710202993,-0.1993613537825437,0.07736662695883961,-0.23522574430504517,-0.3118939852470705,-0.054519333233821875,-0.07777190669775745,-0.3106302139184158,0.3474592868042102,-0.19964337749356345,-0.2305696628702191,-0.020018867208837457,0.0004065866641262128,-0.14676115409361815,0.09130126741901128,0.0473563326650617,0.016531543853656155,-1.0579751380624316,-0.07654129792010754,-0.13793044357081802,-0.20734533562450763,-0.5586164726142042,-0.02352811774637159,-0.07717976225424367,-0.11352005985966568,-0.023325495066453678,0.2332892695208073,-0.09144236674083557,0.2754957795677095,-0.3088478283266056,0.24194401349198644,-0.5402898454953516,1.2982990609999998,8,Alpelisib_8_24
9,-0.2593691610593418,0.21612261014283193,-0.19681823559185196,0.10069398448642754,0.09301792781782865,-0.07342912914869199,-0.19410357362035455,0.389966657110216,0.06473053504616706,-0.1333980621575158,0.49217177924454186,-0.05526186459067641,0.619025336451574,0.3560875878914513,0.3799705416800336,0.3534202801319764,0.24167401658499696,0.18624788584998783,0.16939586889637495,0.34057968905691677,0.07007097987206984,-0.09950631747984813,0.08259066759204069,-0.09939729022650218,0.04588350191227584,0.22357862646833024,0.07051377880586249,-0.049158331665201,0.2503693149968848,-0.24175463439278191,0.00879799472118918,-0.015561319521013825,0.1445342505477901,0.5737595793627296,0.05564275694789514,-0.10099192103235825,0.00037683640638090193,0.1154366633652029,0.07046166117368342,0.11229131028097433,-0.13052897100006575,-0.0885838539439547,-0.37494675905484404,0.28726338966318293,0.2296034783364964,-0.005482882094576942,0.15679853399992558,0.18160653633148274,-0.022004024131517853,0.007495273464923214,-0.13965332703781871,0.006569670355694085,0.07807068221593934,0.20112363445051126,-0.1266094668478052,0.04633087786057196,0.0851317518376103,-0.062162940595642015,-0.08184974759027763,0.0030640489375402258,-0.10872441949161486,0.01837519791106376,-0.006204970207708572,0.32874117585189727,0.278483505469217,0.48554192353461945,0.2087027359299336,0.08102789837439285,-0.08681771757847674,-0.03788557066619124,-0.11369041566318117,-0.0714987794495603,0.22947695863764275,0.18479882282022198,-0.08362097098840815,0.40926223535869005,0.08046016204506008,-0.056309217119094784,-0.08535851559404467,-0.15849776738485336,0.014614258208447686,-0.04211021132397267,0.1942212194691201,0.10378083839895615,-0.20175910507390218,-0.04981861873697944,0.02798241373098399,-0.029432387698449646,-0.40375349906808694,0.19366440235977014,0.044464918926084646,-0.2054036045301618,-0.08499795934305902,0.37069322681324146,-0.013574595773448142,0.3306387515581554,0.3455866400751495,0.2661513874257602,0.2865335367970289,0.8549191293,46,Aminolevulinic_46_24
12,-0.22899425804894982,0.13859227655400366,-0.16028524286727283,0.09210312672790938,0.06446179799418504,-0.22177983025594608,-0.20866196265482698,0.22026331653788814,-0.09051372320376017,-0.08164761861757446,0.37710192192699443,-0.3267361028562128,0.1528621861623205,0.3116606167661778,0.20832194219313815,0.16532868191572933,0.3897614343754124,0.0877029236993024,0.13438045946424002,0.09750904898154548,0.14611110168755348,-0.06079431957969328,-0.15716233598651755,-0.01757800831997076,-0.13162182693440105,0.2372152268825414,-0.042827132816242584,0.024148630354225483,0.1178795867545996,0.03236489619110849,-0.05334208618965646,-0.11570693568871016,0.08707050654535557,0.2949112556412786,-0.05120124805762861,0.013294890337071522,0.005621183976961421,0.062098720667629496,0.11127405425926566,0.07522435212034743,-0.17432116174094978,-0.1599461502929884,-0.6912845308536267,0.062338274039348544,0.43470498947733627,0.10283266748749349,0.07795875638465947,-0.0515321157108819,-0.11613840422648332,-0.1831207285507418,0.013954601041866077,0.07810787227186843,-0.16915087198127784,0.14725480075439049,0.04350037494742956,-0.2411291321059048,-0.008351155732394274,0.058743830229017,-0.1050204326798484,0.024909074785829478,-0.37033970529518206,-0.015575778933729046,-0.03721942835597428,0.12205198621609924,0.10449210358612031,0.3615777066418287,-0.0017857316433623326,-0.019780752188096173,0.08367164518671076,-0.03560703396945408,-0.17564101253427108,-0.022297723468629422,0.19232340716540738,0.044884406703869395,-0.06262652726775254,0.1563157827149507,-0.0645006251780607,0.023561583431142185,-0.11324112112253669,-0.17554524088661505,0.3348918068177811,0.057218415275951805,-0.10800280380482935,-0.06747058868100952,0.12448658168328076,-0.06934847386181149,-0.019434314417013626,-0.080768933689142,0.05426381951330269,0.05057299326196344,-0.042589525546392816,-0.11564701675462574,0.15427075832678264,0.01461430603605233,0.07594473092360844,0.09861122007434205,0.24411399674991577,0.0490778389937265,0.32526962956716526,1.623330025,55,Anastrozole_55_24
15,-0.17931433646338288,0.26926237506416445,-0.2997184191898257,0.238483811149827,0.08497572181481279,-0.025347802427246564,-0.11378903262386673,0.2968015626065883,0.12091525332525259,-0.2016310850836025,0.1683802856446582,-0.2588571434900694,0.45726298617168615,0.32832500919653723,0.4530967400881781,0.1756151099209934,0.1729682709040126,-0.03663651289748391,0.15768160648113536,0.23880940024307906,0.07894385752413544,0.13277404947668126,-0.18982443893381049,-0.036537172606308906,-0.10950323154351727,-0.04365496328803576,0.13190925407336207,-0.0940326705573112,-0.062013436015254796,-0.23718359701608072,0.05405677063098462,-0.3221470046861408,0.17823891387282398,0.45261229958051913,-0.00997006567361361,0.06702979792944631,0.021946970770410024,-0.11965869139790013,0.0019474926081344338,0.05450897671893231,-0.1248879390941085,0.12163357613253224,-0.509204455549778,0.18730952223405195,0.2285387402986646,-0.08956432960820293,0.14621728115111154,0.1507888567451294,0.040179729655839505,0.1728509123359989,-0.3770666970279777,0.06171515253369653,-0.21363087744752426,0.12995582494156457,-0.1904428149125403,0.1020860770925206,0.1132509637652183,-0.027247289250791024,-0.197124531830878,-0.06327814175085548,-0.2507980039025138,-0.309301014017943,-0.06982102549230094,0.3072427940353201,-0.1805913709478736,0.3386369081609229,0.17483899217829815,-0.017837248218206102,-0.1973074787923107,-0.14125088081957984,-0.03487018819108902,-0.2454413089830431,0.2526002472330603,0.032503876490844276,-0.22466871657049592,0.13661189315165867,-0.31276198463493754,-0.2242001162638901,-0.04175506629997682,0.07946939055046477,-0.18269719783386038,0.036350802004329184,0.0231567443941044,-0.054706453076874974,-0.504692222008333,-0.062172903924791655,0.1022583694622689,-0.08220661309620139,-0.26552193852109146,0.23772050570485712,-0.09587846576494248,-0.20548358897493388,-0.27710172612307676,0.49138041130777815,0.24871878668467498,0.2663393788794069,0.33225935221850594,0.22882654121170523,0.46773622196710973,0.817524018,39,Azacytidine_39_24
18,-0.2645799019540063,0.20244309617400255,-0.12149007719155286,0.04372901722587008,0.08051259852828628,-0.125166517070263,-0.20583403440011386,0.340835588117587,-0.04128327971739334,-0.08028852404272772,0.3270176720994205,-0.4445836826459382,0.22791827519761262,0.23233521119427228,0.19314851742334513,0.32011617228759154,0.23092313828742897,0.20730026072029062,0.08265214062031222,0.025637886296209205,0.13349461530566717,-0.006544913321884431,0.031516100085389624,0.24367615436683734,0.10632766550360306,0.301416042469065,-0.08753728840673465,-0.10541229431235245,0.1411373288379787,-0.19822424856762852,-0.1034382503877676,-0.058204477566521064,0.0986196210454291,0.4158641940963144,-0.12178470147660854,0.02100351582907194,0.16656839107708368,0.41492939157215597,0.1702113205761918,-0.12614892721118467,0.014250467973192217,-0.05123954693761259,-0.6679242781302063,0.15335204598667126,0.24458780857269444,0.1933091190281188,-0.107157311079292,0.025532095968633012,-0.06480556901776911,0.07986821071213279,-0.18869014851484553,0.06467946691560518,0.14222499972433933,0.14766420919632658,-0.061782341311016876,0.04030427890191838,-0.10608470493011997,0.19381861467552852,-0.4012067168938323,-0.005872098895474506,-0.3622200756938783,-0.026192250465582895,-0.01419143956900056,0.18506076067418106,0.07572789637275575,0.6164766569043358,0.14253856935226983,0.007720791430846502,-0.039114737712550196,0.09414533809455439,-0.05856869485307132,-0.07320463108575788,0.1959975825646221,0.016968184642070522,-0.5115335734254521,0.24299201548894458,0.06202095750929878,-0.06688934730519998,-0.038025276521177535,0.15739569554168456,-0.08227433296547747,0.16071655008332264,0.11172728297439527,0.12569664590889126,0.3931618916793716,0.014430380739041912,0.0549582383957369,-0.06421098519205519,-0.2525817326344469,0.03600346065614827,-0.026175302619917313,-0.20330729726632135,-0.16526766928911885,0.4868693848227248,-0.16555175387411722,0.08609403564508732,0.0004633803281468933,0.2235798578199345,0.11634453539725487,1.006864093,44,Bexarotene_44_24
21,0.04344728745279807,0.3833236972799351,-0.5458162357057772,-0.6078966926040833,-0.07774353304879277,0.13339290334390183,-0.10239107414401452,0.14090723303702862,-0.27833667468043877,0.050785838249268876,0.07447643270450563,-0.41937216172536457,-0.35964203997840327,-0.4097626318063687,0.2881434472855461,0.2721350662205625,-0.017257922376899784,-0.06658661108708974,-0.08866982351339359,-0.6078251208456066,0.09045878330403032,0.170514246018798,-0.12878674348081762,-0.47209773454818293,-0.33221809234508887,-0.06382842548239206,-0.32664427416049957,-0.1390119963698383,0.42066821088431505,0.024078782525956893,-0.13792854923153988,-0.009311910633489443,-0.3725939139548404,0.505020360879078,-0.45383002375475745,-0.36088971956446814,-0.15739823295338995,0.5148800360389456,0.028496708895627512,0.00606382491718227,-0.04198086257606608,0.3221905729615525,-0.3720167977446398,0.014617510115901566,0.7032947764010914,0.0560995864820908,0.18199359636188953,0.07305992596703931,-0.009419020245742607,-0.23612510250299984,-0.09877279527516535,-0.2058657008056871,-0.42812875862566474,-0.3281991826283564,-0.12872276464438998,-0.5454847330528086,-0.1817813677845571,0.28967469401584445,0.08243327091573659,-0.29229563055119373,-0.08973115052209141,-0.5753707015257256,-0.423894760566576,-0.08057052312854329,-0.4527624766611139,0.4752525011531426,0.05678299378175265,0.09668381084747653,-0.5114753436115943,-0.18891210408486847,-0.1905777646560996,-0.45507679817674496,-0.2076929254449826,-0.4808251206095634,-0.12037618213287712,0.39393686305855574,-0.05829410930439686,-0.2508923198943141,-0.12116627039121695,0.5074464873706214,-0.005549142439383342,-0.6189081989793539,-0.2587436910923471,0.10136335832233201,-0.30810414959454135,-0.058583298527163666,-0.0006534376828675748,-0.15745675524003808,-0.012195124502165387,-0.074575951092832,-0.31279122051460573,-0.08971943710057335,-0.43928013867274673,-0.12096340969445069,0.06128736242630274,0.03560701547935221,-0.0659095070501115,-0.3376892436417728,0.4615500562145094,1.158082077,26,Bosutinib_26_24
24,-0.17107358798877395,0.2781683288863495,-0.024910925291585544,0.20334406442716946,0.01846063267283932,-0.37164805314601357,-0.13391070215695786,0.29502695474693974,0.0875271690770796,-0.11784944049436348,0.3712317120579707,-0.2333936592170082,0.3249713311939156,0.3457277650666098,0.30649985896379084,0.20114322582627228,0.17391978106045627,0.1284085020470464,0.20762918086947557,0.25736003237144006,0.026538560707993205,-0.18937190904162735,0.11051115880680153,-0.025170691966278805,-0.06499137705531306,0.20446230969936763,-0.11740685036444969,0.032309613148603845,0.1839409608523089,-0.0687436487751089,-0.01563193377363056,0.12946689845049902,0.20338632693693293,0.36072197263286426,-0.00961918180895472,-0.04228851918752783,-0.08571741471265144,0.1996736881528314,0.09469264869590917,0.0064967339903568705,-0.09927783553249708,0.04782346986701902,-0.4544515198969113,0.18091506808249416,0.27115058756742594,-0.09863796081024469,0.12516647551109028,0.07205632649253058,0.08899781636446835,0.045846891423834114,-0.18838989511742443,0.22219228610330657,0.10668650946134346,0.13521380378149794,-0.10826995697142079,-0.018426327857969844,0.07662352856112699,0.032512315399467466,0.13023538036504206,0.13640459025421456,-0.1290665808842636,-0.05804087130828365,0.00963922791647496,0.27617879044336385,0.3305631217617883,0.6039981008142469,0.12494925530151714,0.09882369818799148,-0.10089474572264191,-0.0036722954092326767,-0.13043040934861147,-0.10898168345292035,0.41077930721935996,0.18751190593849784,-0.11800460791002755,0.24256881682955841,0.008035225806686655,-0.09296332802752472,-0.011638845919137587,0.05298774003913268,-0.003711395820816341,-0.019030979996384294,0.23253082238193679,-0.011114653915966435,-0.017191785743609477,-0.10368450722827749,0.06241556354259286,-0.03623230068385946,-0.42370654761750703,0.22621855941492922,0.09898308143836267,-0.15467110620274668,-0.08267348194139322,0.27825107148493555,0.20220530413828763,0.25865351590759905,0.2522553107993935,0.25295960349883356,0.01752348925296485,0.9066371104,49,Capecitabine_49_24
27,-0.40506675293942734,0.21009707264466213,-0.07320457597329545,0.1710223364214477,-0.01072502873151819,-0.2910286017189188,-0.16021032097226165,0.3026611139491666,0.04222234113855019,-0.30443282780665404,0.2200869949074312,-0.215112799855243,0.1941120070563631,0.1230416249975947,0.15899564785456802,0.25572630320140644,0.4125008773715064,-0.05003101034873093,-0.0005522432904741664,0.10536453333621339,0.06684617962621915,-0.013002532183122648,-0.1481222962749032,-0.2359998697480643,-0.12491761834305115,0.23605250512165488,-0.054307832853664285,-0.011312926559597624,0.4250984723158992,-0.43200199824361324,-0.07471182310691005,-0.33119761231387285,0.11035104372167287,0.4284551182973246,-0.0008865670400733938,-0.05003573103145503,-0.12127149109895564,0.2504317140926855,-0.017644764751989738,-0.006199446179626246,-0.1963919215940757,0.0350876017635471,-0.4237751882532718,0.186772207506218,0.22604610532944858,0.010004102105647542,0.23985418330948813,-0.057772114345998195,-0.0007886480910402038,-0.06666716375206176,0.07514253470587218,0.1427682978906775,-0.1198850753167613,0.07236513320222795,-0.015555395579546721,-0.03129129512905604,-0.01198696119515654,0.03243349763778555,-0.09375257911391832,0.06650225931387534,-0.03880429499426028,-0.23680722453676653,-0.05479993851899729,0.25493605421765436,0.2688587015579455,0.38561333939156933,0.09915776460123876,-0.020225844852281627,-0.13582521032012695,-0.15418243044217678,-0.14668078028230178,-0.06542338692964743,0.08996430289434942,0.11227305518581354,-0.21802659330745364,0.36556574915224394,-0.006388169474843127,-0.20527213718112136,0.01094356390097738,0.13102564966695732,-0.1464136366398392,-0.05104811066544434,0.04068386576886208,0.02947948830547357,-0.08196874887110822,-0.14766187705726583,0.01297460447387977,0.006116758241371464,-0.34508725469879886,0.1199630746452922,-0.03932306250384543,-0.14750046148638693,0.11193282196260435,0.5413719756016412,0.06289202345562996,0.09890213694598293,-0.004316972414625596,0.22500019402159746,0.1771289295671248,1.002803495,60,Carboplatin_60_24
